Material description,Manufacturer,Rated power,Actual flow volume air/gas,"Pressure, static",
Centrifugal plug fan,NADI,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,22.000 kW,"32,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,15.000 kW,"12,850.000 m3/h","2,500 Pa",
Centrifugal plug fan,NADI,15.000 kW,"44,094.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,18.500 kW,"52,912.000 m3/h",600 Pa,
Fan,NADI,37.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,30.000 kW,"48,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,18.500 kW,"66,140.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,15.000 kW,"30,000.000 m3/h","1,130 Pa",
Centrifugal plug fan,NADI,3.700 kW,"12,000.000 m3/h",550 Pa,
Centrifugal plug fan,NADI,7.500 kW,"24,000.000 m3/h",550 Pa,
Centrifugal plug fan,NADI,22.000 kW,"40,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,30.000 kW,"60,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,15.000 kW,"10,500.000 m3/h","2,500 Pa",
Centrifugal plug fan,NADI,15.000 kW,"12,850.000 m3/h","2,500 Pa",
Centrifugal plug fan,NADI,15.000 kW,"10,500.000 m3/h","2,500 Pa",
Centrifugal plug fan,NADI,15.000 kW,"39,684.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,18.500 kW,"36,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,15.000 kW,"39,684.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,15.000 kW,"39,684.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,15.000 kW,"39,684.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,18.500 kW,"36,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,5.500 kW,"15,000.000 m3/h",600 Pa,
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"40,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"40,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,5.500 kW,"10,000.000 m3/h",900 Pa,
Centrifugal plug fan,HYGIENIC AIR,37.000 kW,"60,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,37.000 kW,"51,400.000 m3/h","1,600 Pa",
Centrifugal plug fan,NADI,22.000 kW,"30,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,11.000 kW,"33,070.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,15.000 kW,"30,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,HYGIENIC AIR,37.000 kW,"60,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"45,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"102,900.000 m3/h","1,650 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"102,900.000 m3/h","1,650 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"36,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,HYGIENIC AIR,15.000 kW,"39,684.000 m3/h",600 Pa,
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"45,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,HYGIENIC AIR,15.000 kW,"49,605.000 m3/h",600 Pa,
Centrifugal plug fan,HYGIENIC AIR,110.000 kW,"118,900.000 m3/h","2,000 Pa",
